Availability,ResourceName
6.5,DSU_403520
3.0,DSU_403560
6.0,DSU_403630
2.0,DSU_403640
0.0,DSU_403730
5.0,DSU_403760
0.0,DSU_503460
10.0,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
6.5,DSU_403520
3.0,DSU_403560
6.0,DSU_403630
2.0,DSU_403640
0.0,DSU_403730
5.0,DSU_403760
0.0,DSU_503460
10.5,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
6.0,DSU_403520
0.5,DSU_403560
7.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
0.0,DSU_503460
10.5,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
6.0,DSU_403520
0.5,DSU_403560
7.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
0.0,DSU_503460
10.5,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
5.5,DSU_403520
1.0,DSU_403560
5.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
0.0,DSU_503460
10.5,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
5.5,DSU_403520
1.0,DSU_403560
5.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
0.0,DSU_503460
11.0,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
5.0,DSU_403520
1.0,DSU_403560
5.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
4.0,DSU_403760
0.0,DSU_503460
11.0,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
5.0,DSU_403520
1.0,DSU_403560
5.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
4.0,DSU_403760
0.0,DSU_503460
11.0,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
4.0,DSU_403520
1.0,DSU_403560
5.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
4.5,DSU_403760
0.0,DSU_503460
11.0,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
4.0,DSU_403520
1.0,DSU_403560
5.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
4.5,DSU_403760
0.0,DSU_503460
11.5,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
5.0,DSU_403520
1.0,DSU_403560
5.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
4.5,DSU_403760
0.0,DSU_503460
11.5,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
5.0,DSU_403520
1.0,DSU_403560
5.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
4.5,DSU_403760
0.0,DSU_503460
11.0,DSU_401400
8.0,DSU_401870
7.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
6.5,DSU_403520
1.0,DSU_403560
5.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
0.0,DSU_503460
11.0,DSU_401400
8.0,DSU_401870
7.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
6.5,DSU_403520
1.0,DSU_403560
5.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
0.0,DSU_503460
11.0,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
7.0,DSU_403520
1.0,DSU_403560
5.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
4.0,DSU_403760
0.0,DSU_503460
11.0,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
7.0,DSU_403520
1.0,DSU_403560
5.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
4.0,DSU_403760
0.0,DSU_503460
11.0,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
7.0,DSU_403520
1.0,DSU_403560
5.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
4.5,DSU_403760
0.0,DSU_503460
11.0,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
7.0,DSU_403520
1.0,DSU_403560
5.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
4.5,DSU_403760
0.0,DSU_503460
12.0,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
7.0,DSU_403520
1.0,DSU_403560
5.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
4.0,DSU_403760
0.0,DSU_503460
12.0,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
7.0,DSU_403520
1.0,DSU_403560
5.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
4.0,DSU_403760
0.0,DSU_503460
11.0,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
7.0,DSU_403520
1.0,DSU_403560
6.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
4.5,DSU_403760
0.0,DSU_503460
11.0,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
7.0,DSU_403520
1.0,DSU_403560
6.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
4.5,DSU_403760
0.0,DSU_503460
11.0,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
7.5,DSU_403520
1.0,DSU_403560
7.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
4.5,DSU_403760
0.0,DSU_503460
11.0,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
7.5,DSU_403520
1.0,DSU_403560
7.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
4.5,DSU_403760
0.0,DSU_503460
11.0,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
7.5,DSU_403520
1.0,DSU_403560
7.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
0.0,DSU_503460
11.0,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
7.5,DSU_403520
1.0,DSU_403560
7.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
0.0,DSU_503460
11.5,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
7.0,DSU_403520
1.0,DSU_403560
6.0,DSU_403630
2.5,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
0.0,DSU_503460
11.5,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
7.0,DSU_403520
1.0,DSU_403560
6.0,DSU_403630
2.5,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
0.0,DSU_503460
11.0,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
7.0,DSU_403520
1.0,DSU_403560
6.0,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
0.0,DSU_503460
11.0,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
7.0,DSU_403520
1.0,DSU_403560
6.0,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
0.0,DSU_503460
11.0,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
8.0,DSU_403520
1.5,DSU_403560
6.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
0.0,DSU_503460
11.0,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
8.0,DSU_403520
1.5,DSU_403560
6.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
0.0,DSU_503460
11.0,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
8.0,DSU_403520
3.0,DSU_403560
6.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
0.0,DSU_503460
11.0,DSU_401400
8.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
8.0,DSU_403520
3.0,DSU_403560
6.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
0.0,DSU_503460
12.0,DSU_401400
6.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
8.0,DSU_403520
3.0,DSU_403560
6.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
0.0,DSU_503460
12.0,DSU_401400
6.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
8.0,DSU_403520
3.0,DSU_403560
6.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
0.0,DSU_503460
11.0,DSU_401400
6.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
8.0,DSU_403520
3.0,DSU_403560
6.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
0.0,DSU_503460
11.0,DSU_401400
6.0,DSU_401870
9.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
8.0,DSU_403520
3.0,DSU_403560
6.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
0.0,DSU_503460
